ppnr,cond,spacex2,spacex3,spacex4,trial,category,categ,feature1,feature2,feature3,feature4,timeinstructions,count,set,x1,x2,x3,x4,x1_,x2_,x3_,x4_,rating,timerating,age,gender,sat,date,time
2,2,uni,dec,acc,14,Apartment,1,Price,Square_footage,Number_of_windows,Sound_insulation,31.965,14,16,3,2,2,1,"$1,500 ",950_sq_ft,$6 ,20_dB,62,7.488,19,M,0,10/28/2013,1:38:00_PM
2,2,uni,dec,acc,15,Apartment,1,Price,Square_footage,Number_of_windows,Sound_insulation,31.965,15,15,3,2,1,2,"$1,500 ",950_sq_ft,$3 ,30_dB,25,7.145,19,M,0,10/28/2013,1:38:00_PM
2,2,uni,dec,acc,16,Apartment,1,Price,Square_footage,Number_of_windows,Sound_insulation,31.965,16,13,3,1,2,3,"$1,500 ",850_sq_ft,$6 ,50_dB,69,8.05,19,M,0,10/28/2013,1:38:00_PM
2,2,uni,dec,acc,17,Apartment,1,Price,Square_footage,Number_of_windows,Sound_insulation,31.965,17,3,1,2,1,3,"$1,000 ",950_sq_ft,$3 ,50_dB,45,10.623,19,M,0,10/28/2013,1:39:00_PM
2,2,uni,dec,acc,18,Apartment,1,Price,Square_footage,Number_of_windows,Sound_insulation,31.965,18,11,2,3,1,2,"$1,250 ","1,050_sq_ft",$3 ,30_dB,45,5.507,19,M,0,10/28/2013,1:39:00_PM
2,2,uni,dec,acc,19,Insurance,2,Insurance_premium,Liability_coverage,Comprehensive_and_collision_coverage,Deductible,21.934,1,4,1,2,3,1,$60 ,"$30,000 ","$15,000 ",$0 ,80,8.751,19,M,0,10/28/2013,1:39:00_PM
2,2,uni,dec,acc,20,Insurance,2,Insurance_premium,Liability_coverage,Comprehensive_and_collision_coverage,Deductible,21.934,2,8,2,1,3,1,$105 ,"$10,000 ","$15,000 ",$0 ,50,11.685,19,M,0,10/28/2013,1:39:00_PM
2,2,uni,dec,acc,21,Insurance,2,Insurance_premium,Liability_coverage,Comprehensive_and_collision_coverage,Deductible,21.934,3,17,3,3,1,1,$150 ,"$50,000 ","$5,000 ",$0 ,40,5.631,19,M,0,10/28/2013,1:39:00_PM
2,2,uni,dec,acc,22,Insurance,2,Insurance_premium,Liability_coverage,Comprehensive_and_collision_coverage,Deductible,21.934,4,18,3,3,3,3,$150 ,"$50,000 ","$15,000 ","$1,000 ",65,6.974,19,M,0,10/28/2013,1:40:00_PM
2,2,uni,dec,acc,23,Insurance,2,Insurance_premium,Liability_coverage,Comprehensive_and_collision_coverage,Deductible,21.934,5,9,2,2,2,2,$105 ,"$30,000 ","$12,500 ",$250 ,95,6.224,19,M,0,10/28/2013,1:40:00_PM
2,2,uni,dec,acc,24,Insurance,2,Insurance_premium,Liability_coverage,Comprehensive_and_collision_coverage,Deductible,21.934,6,2,1,1,2,2,$60 ,"$10,000 ","$12,500 ",$250 ,3,5.694,19,M,0,10/28/2013,1:40:00_PM
2,2,uni,dec,acc,25,Insurance,2,Insurance_premium,Liability_coverage,Comprehensive_and_collision_coverage,Deductible,21.934,7,11,2,3,1,2,$105 ,"$50,000 ","$5,000 ",$250 ,25,6.988,19,M,0,10/28/2013,1:40:00_PM
2,2,uni,dec,acc,26,Insurance,2,Insurance_premium,Liability_coverage,Comprehensive_and_collision_coverage,Deductible,21.934,8,6,1,3,3,2,$60 ,"$50,000 ","$15,000 ",$250 ,100,5.507,19,M,0,10/28/2013,1:40:00_PM
2,2,uni,dec,acc,27,Insurance,2,Insurance_premium,Liability_coverage,Comprehensive_and_collision_coverage,Deductible,21.934,9,13,3,1,2,3,$150 ,"$10,000 ","$12,500 ","$1,000 ",2,8.845,19,M,0,10/28/2013,1:40:00_PM
2,2,uni,dec,acc,28,Insurance,2,Insurance_premium,Liability_coverage,Comprehensive_and_collision_coverage,Deductible,21.934,10,14,3,1,3,2,$150 ,"$10,000 ","$15,000 ",$250 ,1,3.869,19,M,0,10/28/2013,1:40:00_PM
2,2,uni,dec,acc,29,Insurance,2,Insurance_premium,Liability_coverage,Comprehensive_and_collision_coverage,Deductible,21.934,11,5,1,3,2,3,$60 ,"$50,000 ","$12,500 ","$1,000 ",80,5.694,19,M,0,10/28/2013,1:40:00_PM
2,2,uni,dec,acc,30,Insurance,2,Insurance_premium,Liability_coverage,Comprehensive_and_collision_coverage,Deductible,21.934,12,16,3,2,2,1,$150 ,"$30,000 ","$12,500 ",$0 ,56,6.053,19,M,0,10/28/2013,1:40:00_PM
2,2,uni,dec,acc,31,Insurance,2,Insurance_premium,Liability_coverage,Comprehensive_and_collision_coverage,Deductible,21.934,13,15,3,2,1,2,$150 ,"$30,000 ","$5,000 ",$250 ,6,4.789,19,M,0,10/28/2013,1:40:00_PM
2,2,uni,dec,acc,32,Insurance,2,Insurance_premium,Liability_coverage,Comprehensive_and_collision_coverage,Deductible,21.934,14,7,2,1,1,3,$105 ,"$10,000 ","$5,000 ","$1,000 ",2,4.462,19,M,0,10/28/2013,1:41:00_PM
2,2,uni,dec,acc,33,Insurance,2,Insurance_premium,Liability_coverage,Comprehensive_and_collision_coverage,Deductible,21.934,15,12,2,3,2,1,$105 ,"$50,000 ","$12,500 ",$0 ,87,10.468,19,M,0,10/28/2013,1:41:00_PM
2,2,uni,dec,acc,34,Insurance,2,Insurance_premium,Liability_coverage,Comprehensive_and_collision_coverage,Deductible,21.934,16,1,1,1,1,1,$60 ,"$10,000 ","$5,000 ",$0 ,2,2.839,19,M,0,10/28/2013,1:41:00_PM
2,2,uni,dec,acc,35,Insurance,2,Insurance_premium,Liability_coverage,Comprehensive_and_collision_coverage,Deductible,21.934,17,10,2,2,3,3,$105 ,"$30,000 ","$15,000 ","$1,000 ",55,4.43,19,M,0,10/28/2013,1:41:00_PM
2,2,uni,dec,acc,36,Insurance,2,Insurance_premium,Liability_coverage,Comprehensive_and_collision_coverage,Deductible,21.934,18,3,1,2,1,3,$60 ,"$30,000 ","$5,000 ","$1,000 ",23,4.384,19,M,0,10/28/2013,1:41:00_PM
2,2,uni,dec,acc,37,TV,3,Price,Screen_size,Number_of_devices,Repair_rating,11.06,1,8,2,1,3,1,$600 ,32_inch,8,10,59,11.56,19,M,0,10/28/2013,1:41:00_PM
2,2,uni,dec,acc,38,TV,3,Price,Screen_size,Number_of_devices,Repair_rating,11.06,2,12,2,3,2,1,$600 ,60_inch,6,10,90,6.708,19,M,0,10/28/2013,1:41:00_PM
2,2,uni,dec,acc,39,TV,3,Price,Screen_size,Number_of_devices,Repair_rating,11.06,3,9,2,2,2,2,$600 ,46_inch,6,30,63,6.692,19,M,0,10/28/2013,1:41:00_PM
2,2,uni,dec,acc,40,TV,3,Price,Screen_size,Number_of_devices,Repair_rating,11.06,4,2,1,1,2,2,$300 ,32_inch,6,30,23,5.226,19,M,0,10/28/2013,1:42:00_PM
2,2,uni,dec,acc,41,TV,3,Price,Screen_size,Number_of_devices,Repair_rating,11.06,5,16,3,2,2,1,$900 ,46_inch,6,10,73,7.644,19,M,0,10/28/2013,1:42:00_PM
2,2,uni,dec,acc,42,TV,3,Price,Screen_size,Number_of_devices,Repair_rating,11.06,6,10,2,2,3,3,$600 ,46_inch,$8 ,$90 ,6,22.183,19,M,0,10/28/2013,1:42:00_PM
2,2,uni,dec,acc,43,TV,3,Price,Screen_size,Number_of_devices,Repair_rating,11.06,7,3,1,2,1,3,$300 ,46_inch,1,90,6,3.385,19,M,0,10/28/2013,1:42:00_PM
2,2,uni,dec,acc,44,TV,3,Price,Screen_size,Number_of_devices,Repair_rating,11.06,8,17,3,3,1,1,$900 ,60_inch,1,10,59,8.642,19,M,0,10/28/2013,1:42:00_PM
2,2,uni,dec,acc,45,TV,3,Price,Screen_size,Number_of_devices,Repair_rating,11.06,9,15,3,2,1,2,$900 ,46_inch,1,30,2,4.322,19,M,0,10/28/2013,1:42:00_PM
2,2,uni,dec,acc,46,TV,3,Price,Screen_size,Number_of_devices,Repair_rating,11.06,10,18,3,3,3,3,$900 ,60_inch,8,90,50,8.268,19,M,0,10/28/2013,1:42:00_PM
2,2,uni,dec,acc,47,TV,3,Price,Screen_size,Number_of_devices,Repair_rating,11.06,11,1,1,1,1,1,$300 ,32_inch,$1 ,$10 ,91,7.691,19,M,0,10/28/2013,1:43:00_PM
2,2,uni,dec,acc,48,TV,3,Price,Screen_size,Number_of_devices,Repair_rating,11.06,12,13,3,1,2,3,$900 ,32_inch,$6 ,$90 ,6,4.29,19,M,0,10/28/2013,1:43:00_PM
2,2,uni,dec,acc,49,TV,3,Price,Screen_size,Number_of_devices,Repair_rating,11.06,13,6,1,3,3,2,$300 ,60_inch,$8 ,$30 ,100,6.489,19,M,0,10/28/2013,1:43:00_PM
2,2,uni,dec,acc,50,TV,3,Price,Screen_size,Number_of_devices,Repair_rating,11.06,14,11,2,3,1,2,$600 ,60_inch,$1 ,$30 ,75,6.303,19,M,0,10/28/2013,1:43:00_PM
2,2,uni,dec,acc,51,TV,3,Price,Screen_size,Number_of_devices,Repair_rating,11.06,15,4,1,2,3,1,$300 ,46_inch,$8 ,$10 ,100,5.007,19,M,0,10/28/2013,1:43:00_PM
2,2,uni,dec,acc,52,TV,3,Price,Screen_size,Number_of_devices,Repair_rating,11.06,16,5,1,3,2,3,$300 ,60_inch,$6 ,$90 ,62,6.552,19,M,0,10/28/2013,1:43:00_PM
2,2,uni,dec,acc,53,TV,3,Price,Screen_size,Number_of_devices,Repair_rating,11.06,17,14,3,1,3,2,$900 ,32_inch,$8 ,$30 ,1,3.744,19,M,0,10/28/2013,1:43:00_PM
