Duration (in seconds),b_wtp3,b_wtp2,b_wtp1,b_qual3,b_qual2,b_qual1,c_wtp3,c_wtp2,c_wtp1,c_qual3,c_qual2,c_qual1,a_wtp3,a_wtp2,a_wtp1,a_qual3,a_qual2,a_qual1,Q35,Q52,Q54_1,Q56,Q58,Q60,Q64,mturkcode
32,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,400,300,200,10,8,5,4,1,23,5,2,1,1,25196
74,120,60,30,13,7,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,23,5,2,1,1,77744
128,300,180,100,10,7,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,2,20,5,3,3,1,48185
62,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,100,20,5,9,3,1,4,1,28,5,4,2,1,40665
77,NA,NA,NA,NA,NA,NA,1200,500,120,11,10,3,NA,NA,NA,NA,NA,NA,1,1,23,5,4,1,1,85594
95,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,175,140,125,13,9,7,1,2,60,5,3,1,1,20886
81,150,100,60,9,6,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,1,50,5,6,5,1,54972
55,NA,NA,NA,NA,NA,NA,200,175,80,12,10,6,NA,NA,NA,NA,NA,NA,2,1,39,2,4,5,1,14347
101,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,150,100,50,12,10,7,1,1,20,5,3,1,1,3379
134,250,150,75,12,11,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,2,30,"2,5",4,1,1,19134
246,299,199,99,12,9,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,2,45,5,4,2,1,84797
267,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,450,300,250,12,9,6,2,2,23,5,4,1,1,75658
68,NA,NA,NA,NA,NA,NA,1300,1100,500,13,10,2,NA,NA,NA,NA,NA,NA,1,1,27,5,3,3,1,23697
169,NA,NA,NA,NA,NA,NA,175,155,75,11,9,5,NA,NA,NA,NA,NA,NA,4,1,43,5,2,4,1,77189
97,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,250,100,75,11,7,5,3,1,27,5,4,3,1,98997
416,NA,NA,NA,NA,NA,NA,150,100,50,10,10,6,NA,NA,NA,NA,NA,NA,4,2,25,5,4,1,1,31015
79,150,100,50,11,9,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,1,27,5,4,4,1,27679
81,NA,NA,NA,NA,NA,NA,200,170,100,11,11,11,NA,NA,NA,NA,NA,NA,3,1,24,5,3,4,1,33942
135,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,179,99,79,12,10,10,4,1,46,5,2,4,1,83644
122,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,150,75,30,13,7,4,1,2,38,5,3,1,1,42261
76,150,90,50,12,10,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,2,24,"3,5",4,2,1,69196
147,NA,NA,NA,NA,NA,NA,400,200,90,9,5,4,NA,NA,NA,NA,NA,NA,1,2,42,5,4,2,1,77521
93,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,299,199,99,12,9,5,2,1,23,5,4,4,1,69088
83,400,150,25,11,7,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,2,23,5,3,2,1,75618
143,NA,NA,NA,NA,NA,NA,500,400,150,13,10,2,NA,NA,NA,NA,NA,NA,1,2,31,3,5,1,1,13679
89,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,599,399,149,13,11,7,1,1,20,5,3,2,1,64493
240,125,55,18,9,5,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,1,57,5,3,1,1,42987
80,150,75,25,11,8,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,30,5,5,5,1,75140
325,200,1200,500,12,10,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,1,39,6,3,4,1,37293
90,1000,700,500,11,8,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,2,22,3,3,1,1,49661
58,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,150,75,50,13,7,5,1,2,23,5,4,2,1,15236
106,200,150,100,10,8,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,31,5,3,3,1,60906
116,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,350,180,60,11,7,1,2,1,50,1,2,1,1,99516
35,500,200,50,13,10,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,27,5,4,4,1,57553
435,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,199,79,49,12,8,3,3,2,30,5,3,4,1,29287
